original,mz
162.0317,161.0244
170.0579,169.0506
176.0473,175.04
180.0423,179.035
218.0579,217.0506
254.0579,253.0506
256.0736,255.0663
256.0736,255.0663
256.0736,255.0663
260.1049,259.0976
268.0736,267.0663
270.0892,269.0819
270.0892,269.0819
270.0892,269.0819
272.0685,271.0612
272.1049,271.0976
282.162,281.1547
284.0685,283.0612
284.0685,283.0612
284.0685,283.0612
286.0841,285.0768
286.0841,285.0768
294.0892,293.0819
298.0477,297.0404
298.0841,297.0768
298.1569,297.1496
308.1049,307.0976
308.1049,307.0976
314.079,313.0717
322.1205,321.1132
322.1205,321.1132
322.1205,321.1132
322.1205,321.1132
324.1362,323.1289
324.1362,323.1289
324.1362,323.1289
324.1362,323.1289
336.0998,335.0925
336.0998,335.0925
338.1154,337.1081
338.1154,337.1081
338.1518,337.1445
338.1518,337.1445
338.1518,337.1445
340.1311,339.1238
340.1675,339.1602
352.0947,351.0874
352.1311,351.1238
354.1103,353.103
354.1103,353.103
354.1103,353.103
354.1467,353.1394
354.1467,353.1394
354.1467,353.1394
354.1467,353.1394
356.126,355.1187
366.1103,365.103
366.1103,365.103
366.2195,365.2122
368.126,367.1187
370.178,369.1707
380.126,379.1187
382.1416,381.1343
382.1416,381.1343
382.2144,381.2071
384.1209,383.1136
384.1209,383.1136
390.1831,389.1758
390.1831,389.1758
390.1831,389.1758
392.1988,391.1915
392.1988,391.1915
392.1988,391.1915
392.1988,391.1915
406.178,405.1707
408.1937,407.1864
408.1937,407.1864
418.1264,417.1191
418.1264,417.1191
418.1264,417.1191
418.1264,417.1191
422.1577,421.1504
422.1729,421.1656
424.225,423.2177
430.1264,429.1191
432.1056,431.0983
460.1369,459.1296
468.324,467.3167
468.324,467.3167
470.3396,469.3323
470.3396,469.3323
550.1686,549.1613
550.1686,549.1613
578.1636,577.1563
680.3772,679.3699
822.4038,821.3965
822.4038,821.3965
822.4038,821.3965
838.3987,837.3914
